"individual_ID","species","potential_mortality_date","baseline_distance","mean_distance_after","gps_noise_threshold","movement_vs_gps_noise"
"F59817","Roach",NA,3605.60436752591,NA,111.207219031436,NA
"F59820","Roach",2022-10-25,3316.85714981898,373.600120693115,110.499521292548,3.38101121455545
"F59826","Roach",2022-10-27,3363.97965635175,446.648267608462,110.587679979542,4.03886099872146
"F59828","Roach",2022-10-21,1864.10882859143,75.6775989290325,94.6501060038089,0.799551127031882
"F59831","Roach",NA,3860.35300023472,NA,116.654084986843,NA
"F59847","Perch",2022-10-11,922.764061304084,26.6347177718165,55.6590369843596,0.478533571813341
"F59849","Perch",NA,1154.90463620137,NA,91.6167316400572,NA
"F59852","Perch",NA,972.085517784329,NA,76.0547797150186,NA
"F59853","Perch",2022-09-27,714.932486930012,393.004960382328,64.7670018862486,6.06798136298742
"F59878","Perch",2022-10-11,957.259501939921,41.9472474282389,74.2766939669952,0.56474305987391
